film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
650,"PACIFIC AMISTAD","A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse",2006,1,NULL,3,0.99,144,27.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
653,"PANIC CLUB","A Fanciful Display of a Teacher And a Crocodile who must Succumb a Girl in A Baloon",2006,1,NULL,3,4.99,102,15.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
654,"PANKY SUBMARINE","A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico",2006,1,NULL,4,4.99,93,19.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
678,"PICKUP DRIVING","A Touching Documentary of a Husband And a Boat who must Meet a Pastry Chef in A Baloon Factory",2006,1,NULL,3,2.99,77,23.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
692,"POTLUCK MIXED","A Beautiful Story of a Dog And a Technical Writer who must Outgun a Student in A Baloon",2006,1,NULL,3,2.99,179,10.99,G,"Behind the Scenes","2006-02-15 05:03:42"
697,"PRIMARY GLASS","A Fateful Documentary of a Pastry Chef And a Butler who must Build a Dog in The Canadian Rockies",2006,1,NULL,7,0.99,53,16.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
702,"PULP BEVERLY","A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria",2006,1,NULL,4,2.99,89,12.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
718,"REBEL AIRPORT","A Intrepid Yarn of a Database Administrator And a Boat who must Outrace a Husband in Ancient India",2006,1,NULL,7,0.99,73,24.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
732,"RINGS HEARTBREAKERS","A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans",2006,1,NULL,5,0.99,58,17.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
737,"ROCK INSTINCT","A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India",2006,1,NULL,4,0.99,102,28.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
757,"SAGEBRUSH CLUELESS","A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan",2006,1,NULL,4,2.99,106,28.99,G,Trailers,"2006-02-15 05:03:42"
758,"SAINTS BRIDE","A Fateful Tale of a Technical Writer And a Composer who must Pursue a Explorer in The Gulf of Mexico",2006,1,NULL,5,2.99,125,11.99,G,"Deleted Scenes","2006-02-15 05:03:42"
760,"SAMURAI LION","A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon",2006,1,NULL,5,2.99,110,21.99,G,Commentaries,"2006-02-15 05:03:42"
762,"SASSY PACKER","A Fast-Paced Documentary of a Dog And a Teacher who must Find a Moose in A Manhattan Penthouse",2006,1,NULL,6,0.99,154,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
763,"SATISFACTION CONFIDENTIAL","A Lacklusture Yarn of a Dentist And a Butler who must Meet a Secret Agent in Ancient China",2006,1,NULL,3,4.99,75,26.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
764,"SATURDAY LAMBS","A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon",2006,1,NULL,3,4.99,150,28.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
770,"SCISSORHANDS SLUMS","A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies",2006,1,NULL,5,2.99,147,13.99,G,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
778,"SECRETS PARADISE","A Fateful Saga of a Cat And a Frisbee who must Kill a Girl in A Manhattan Penthouse",2006,1,NULL,3,4.99,109,24.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
787,"SHINING ROSES","A Awe-Inspiring Character Study of a Astronaut And a Forensic Psychologist who must Challenge a Madman in Ancient India",2006,1,NULL,4,0.99,125,12.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
794,"SIDE ARK","A Stunning Panorama of a Crocodile And a Womanizer who must Meet a Feminist in The Canadian Rockies",2006,1,NULL,5,0.99,52,28.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
805,"SLEEPLESS MONSOON","A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia",2006,1,NULL,5,4.99,64,12.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
811,"SMILE EARRING","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin",2006,1,NULL,4,2.99,60,29.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
816,"SNOWMAN ROLLERCOASTER","A Fateful Display of a Lumberjack And a Girl who must Succumb a Mad Cow in A Manhattan Penthouse",2006,1,NULL,3,0.99,62,27.99,G,Trailers,"2006-02-15 05:03:42"
828,"SPIKING ELEMENT","A Lacklusture Epistle of a Dentist And a Technical Writer who must Find a Dog in A Monastery",2006,1,NULL,7,2.99,79,12.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
834,"SPOILERS HELLFIGHTERS","A Fanciful Story of a Technical Writer And a Squirrel who must Defeat a Dog in The Gulf of Mexico",2006,1,NULL,4,0.99,151,26.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
848,"STONE FIRE","A Intrepid Drama of a Astronaut And a Crocodile who must Find a Boat in Soviet Georgia",2006,1,NULL,3,0.99,94,19.99,G,Trailers,"2006-02-15 05:03:42"
853,"STRANGER STRANGERS","A Awe-Inspiring Yarn of a Womanizer And a Explorer who must Fight a Woman in The First Manned Space Station",2006,1,NULL,3,4.99,139,12.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
860,"SUICIDES SILENCE","A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat",2006,1,NULL,4,4.99,93,13.99,G,"Deleted Scenes","2006-02-15 05:03:42"
862,"SUMMER SCARFACE","A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank",2006,1,NULL,5,0.99,53,25.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
873,"SWEETHEARTS SUSPECTS","A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico",2006,1,NULL,3,0.99,108,13.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
878,"TEEN APOLLO","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank",2006,1,NULL,3,4.99,74,25.99,G,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
891,"TIMBERLAND SKY","A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat",2006,1,NULL,3,0.99,69,13.99,G,Commentaries,"2006-02-15 05:03:42"
897,"TORQUE BOUND","A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan",2006,1,NULL,3,4.99,179,27.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
901,"TRACY CIDER","A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria",2006,1,NULL,3,0.99,142,29.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
903,"TRAFFIC HOBBIT","A Amazing Epistle of a Squirrel And a Lumberjack who must Succumb a Database Administrator in A U-Boat",2006,1,NULL,5,4.99,139,13.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
908,"TRAP GUYS","A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert",2006,1,NULL,3,4.99,110,11.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
915,"TRUMAN CRAZY","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery",2006,1,NULL,7,4.99,92,9.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
916,"TURN STAR","A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans",2006,1,NULL,3,2.99,80,10.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
919,"TYCOON GATHERING","A Emotional Display of a Husband And a A Shark who must Succumb a Madman in A Manhattan Penthouse",2006,1,NULL,3,4.99,82,17.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
920,"UNBREAKABLE KARATE","A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia",2006,1,NULL,3,0.99,62,16.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
932,"VALLEY PACKER","A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin",2006,1,NULL,3,0.99,73,21.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
954,"WAKE JAWS","A Beautiful Saga of a Feminist And a Composer who must Challenge a Moose in Berlin",2006,1,NULL,7,4.99,73,18.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
957,"WAR NOTTING","A Boring Drama of a Teacher And a Sumo Wrestler who must Challenge a Secret Agent in The Canadian Rockies",2006,1,NULL,7,4.99,80,26.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
958,"WARDROBE PHANTOM","A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India",2006,1,NULL,6,2.99,178,19.99,G,"Trailers,Commentaries","2006-02-15 05:03:42"
959,"WARLOCK WEREWOLF","A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback",2006,1,NULL,6,2.99,83,10.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
960,"WARS PLUTO","A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert",2006,1,NULL,5,2.99,128,15.99,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
964,"WATERFRONT DELIVERANCE","A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria",2006,1,NULL,4,4.99,61,17.99,G,"Behind the Scenes","2006-02-15 05:03:42"
965,"WATERSHIP FRONTIER","A Emotional Yarn of a Boat And a Crocodile who must Meet a Moose in Soviet Georgia",2006,1,NULL,6,0.99,112,28.99,G,Commentaries,"2006-02-15 05:03:42"
968,"WEREWOLF LOLA","A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery",2006,1,NULL,6,4.99,79,19.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
969,"WEST LION","A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse",2006,1,NULL,4,4.99,159,29.99,G,Trailers,"2006-02-15 05:03:42"
996,"YOUNG LANGUAGE","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station",2006,1,NULL,6,0.99,183,9.99,G,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
